id,timestamp,user_id,action,resource,purpose,policy_mode,status,details
1,2026-05-11T18:13:26.533368,P001,ISSUE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 issued
2,2026-05-11T18:13:26.590535,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
3,2026-05-11T18:13:26.598582,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 7.53ms
4,2026-05-11T18:13:26.608862,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
5,2026-05-11T18:13:26.614292,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 5.46ms
6,2026-05-11T18:13:26.622600,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
7,2026-05-11T18:13:26.626819,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 4.80ms
8,2026-05-11T18:13:26.636120,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
9,2026-05-11T18:13:26.640547,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 5.46ms
10,2026-05-11T18:13:26.648207,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
11,2026-05-11T18:13:26.653340,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 6.68ms
12,2026-05-11T18:13:26.659731,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
13,2026-05-11T18:13:26.665193,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 5.67ms
14,2026-05-11T18:13:26.672179,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
15,2026-05-11T18:13:26.676476,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 4.78ms
16,2026-05-11T18:13:26.684987,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
17,2026-05-11T18:13:26.689477,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 5.33ms
18,2026-05-11T18:13:26.697019,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
19,2026-05-11T18:13:26.702464,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 6.69ms
20,2026-05-11T18:13:26.709610,SYSTEM,VALIDATE_CONSENT,HEALTH_DATA,Routine Checkup,CONSENT_MODE,SUCCESS,Token b8c414b9-248c-46cb-b2c4-e76c3f0e1b26 validated
21,2026-05-11T18:13:26.715166,D007,ACCESS_DATA,VITALS,Checkup,CONSENT_MODE,SUCCESS,Latency: 5.80ms
